entry_date,exit_date,entry_t,exit_t,entry_price,exit_price,size,fee_entry,fee_exit,pnl,pnl_pct,exit_reason,equity_after_trade
2015-12-08,2015-12-09,5,6,11.6500,12.0800,85.794016,0.4998,0.5182,35.8735,3.5891,TP,1035.8735
2015-12-11,2015-12-15,8,10,12.2100,12.8800,84.795727,0.5177,0.5461,55.7494,5.3846,TP,1091.6229
2016-01-13,2016-01-14,27,28,9.0000,9.6500,121.230817,0.5455,0.5849,77.6695,7.1186,TP,1169.2924
2016-01-19,2016-01-27,31,36,9.1800,9.4100,127.310240,0.5844,0.5990,28.0979,2.4042,TP,1197.3903
2016-02-02,2016-02-03,40,41,8.6000,9.0100,139.161848,0.5984,0.6269,55.8310,4.6651,TP,1253.2214
2016-02-11,2016-02-12,45,46,9.8700,10.2500,126.909329,0.6263,0.6504,46.9489,3.7481,TP,1300.1702
2016-02-17,2016-02-22,49,52,11.9100,13.1400,109.111710,0.6498,0.7169,132.8408,10.2223,TP,1433.0110
2016-02-24,2016-02-25,54,55,11.7100,11.0200,122.313825,0.7161,0.6739,-85.7866,-5.9894,SL,1347.2245
2016-03-15,2016-03-16,68,69,13.4800,14.8200,99.892525,0.6733,0.7402,132.4425,9.8357,TP,1479.6670
2016-03-24,2016-03-30,75,78,15.0500,15.5400,98.267608,0.7395,0.7635,46.6481,3.1542,TP,1526.3151
2016-04-05,2016-04-08,82,85,15.2900,16.2400,99.774513,0.7628,0.8102,93.2128,6.1101,TP,1619.5279
2016-04-15,2016-04-18,90,91,18.6000,19.0500,87.027877,0.8094,0.8289,37.5241,2.3181,TP,1657.0521
2016-04-19,2016-04-20,92,93,20.4600,21.7600,80.949365,0.8281,0.8807,103.5254,6.2507,TP,1760.5775
2016-04-26,2016-04-27,96,97,18.6900,19.4500,94.151823,0.8798,0.9156,69.7599,3.9643,TP,1830.3374
2016-05-13,2016-05-17,109,111,14.6800,15.1300,124.620072,0.9147,0.9428,54.2215,2.9639,TP,1884.5590
2016-05-18,2016-06-03,112,123,14.7100,16.2400,128.050112,0.9418,1.0398,193.9351,10.2959,TP,2078.4940
2016-06-10,2016-06-17,128,133,14.9500,15.2800,138.960222,1.0387,1.0617,43.7565,2.1063,TP,2122.2505
2016-06-27,2016-06-28,139,140,14.8000,15.4600,143.323640,1.0606,1.1079,92.4251,4.3572,TP,2214.6756
